,Questions,Correct Answer,Level,Category,type,Tag,Answer Description
,Which brand strategy has the advantage of premium pricing?,D,M,Theory,Single Choice,Marketing:Brand Management,
,Line brand strategy,,,,,,
,Product brand strategy,,,,,,
,Family brand strategy,,,,,,
,Umbrella brand strategy,,,,,,
,,,,,,,
,"What is known as, if new offerings are given with the same brand name for quick familiarity?",A,M,Theory,Single Choice,Marketing:Brand Management,
,Leveraging,,,,,,
,Extension,,,,,,
,Diversification,,,,,,
,Stretching,,,,,,
,,,,,,,
, What does a brand symbol consist of?,C,M,Theory,Single Choice,Marketing:Brand Management,
,Brand Character,,,,,,
,Brand Logo,,,,,,
,Both ,,,,,,
,None of the above,,,,,,
,,,,,,,
,What type of brand association does “any drink in a TetraPack is a Frooti” is?,D,M,Theory,Single Choice,Marketing:Brand Management,
,Positive,,,,,,
,Absolute,,,,,,
,Relative,,,,,,
,Generic,,,,,,
,,,,,,,
,Which type of brand maintain profits by holding on to customer even though sales are decreasing with little or no marketing support?,B,M,Theory,Single Choice,Marketing:Brand Management,
,Flanker,,,,,,
,Cash Cow,,,,,,
,Low-end entry level,,,,,,
,Hound Dog,,,,,,
,,,,,,,
,What is the basis of brand’s recognition ?,A,M,Theory,Single Choice,Marketing:Brand Management,
,Functionality,,,,,,
,Quality,,,,,,
,Loyalty,,,,,,
,Reputation,,,,,,
,,,,,,,
," What does brand Vaseline, a petroleum jelly which is branded both as lip balm and moisturizer, is an example of?",A,M,Theory,Single Choice,Marketing:Brand Management,
,Cateogry Related positioning,,,,,,
,Price Quality positioning,,,,,,
,Benefit related positioning,,,,,,
,Positioning by usage occasion and time of use,,,,,,
,,,,,,,
,This pricing model offers opportunity to set different levels of pricing for different needs is known as ______,A,M,Theory,Single Choice,Marketing:Brand Management,
,Segment pricing,,,,,,
,Skim pricing,,,,,,
,Value-in-use pricing,,,,,,
,Strategic account pricing,,,,,,
,,,,,,,
, What does market share for a brand indicates?,A,M,Theory,Single Choice,Marketing:Brand Management,
,Brand Value,,,,,,
,Brand strength,,,,,,
,Brand asset,,,,,,
,Brand liability,,,,,,
,,,,,,,
, What should the consumers’ perceptions match with?,B,M,Theory,Single Choice,Marketing:Brand Management,
,Brand Pinnacle,,,,,,
,Brand Persona,,,,,,
,Brand Associations,,,,,,
,Brand Value,,,,,,
,,,,,,,
," What is the term attributed to the distinctive “swoosh” logo, the “Just Do It” slogan, and the “Nike” name for Nike ?",C,M,Theory,Single Choice,Marketing:Brand Management,
,Brand equities,,,,,,
,Brand identitites,,,,,,
,Brand Elements,,,,,,
,Brand Resonance,,,,,,
,,,,,,,
,What term is given to expansion of offerings of a skin-cream brand from skin-cream to a skin-care and personal-care brand through carefully designed and implemented brand extensions?,D,M,Theory,Single Choice,Marketing:Brand Management,
,Brand valuation,,,,,,
,Brand equity,,,,,,
,Brand reinforcement,,,,,,
,Brand enhancements,,,,,,
,,,,,,,
,"What is known as offering of several types of new yogurts, natural flavors and fruit blends by a yogurt company ?",D,M,Theory,Single Choice,Marketing:Brand Management,
,Sub-brand,,,,,,
,Brand Variant,,,,,,
,Category Extension,,,,,,
,Line Extension,,,,,,
,,,,,,,
,What does the usage of “Intel inside” is an example of ?,A,M,Theory,Single Choice,Marketing:Brand Management,
,Ingredient co-branding,,,,,,
,Bundling,,,,,,
,Joint Venture,,,,,,
,Effectuve Packaging,,,,,,
,,,,,,,
,"What does brand names like Kodak, Xerox and Exxon refer to ?",C,M,Theory,Single Choice,Marketing:Brand Management,
,Descriptive Brand Name,,,,,,
,Suggestive Brand Name,,,,,,
,Free Standing Brand Name,,,,,,
,None of the above,,,,,,
,,,,,,,
,"What type of brand does brand names like Whisper, Visa, Tropicana, Surf, Limca, Crush, Denim corresponds to?",B,M,Theory,Single Choice,Marketing:Brand Management,
,Descrptive Brand Name,,,,,,
,Suggestive Brand name,,,,,,
,Free Standing brand name,,,,,,
,Depends upon target market,,,,,,