,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,What acts as input to sorted output of mappers,a,M,Theory,Single Choice,IT: Big Data,
,Reducer,,,,,,
,Mapper,,,,,,
,Shuffle,,,,,,
,none of the above,,,,,,
,,,,,,,
,Most popular NoSQL database for scalable big data store with Hadoop,a,M,Theory,Single Choice,IT: Big Data,
,Hbase,,,,,,
,MongoDB,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,Which class is provided by Aggregate package,b,M,Theory,Single Choice,IT: Big Data,
,Map,,,,,,
,Reducer,,,,,,
,Reduce,,,,,,
,none of the above,,,,,,
,,,,,,,
,Which namenode is used when primary NameNode goes down,a,M,Theory,Single Choice,IT: Big Data,
,Secondary,,,,,,
,Teritiary,,,,,,
,TaskNode,,,,,,
,Data,,,,,,
,,,,,,,
,Which is a slave/worker node& holds the user data in the form of data blocks,a,M,Theory,Single Choice,IT: Big Data,
,dataNode,,,,,,
,nameNode,,,,,,
,DataBlock,,,,,,
,none of the above,,,,,,
,,,,,,,
,HDFS is implemented in,c,M,Theory,Single Choice,IT: Big Data,
,C#,,,,,,
,C++,,,,,,
,Java,,,,,,
,Scala,,,,,,
,,,,,,,
,Pig in batch mode is run using,a,M,Theory,Single Choice,IT: Big Data,
,Pig Scripts,,,,,,
,Pig Options,,,,,,
,Pig Shell command,,,,,,
,none of the above,,,,,,
,,,,,,,
,Function used to read data in Pig,c,M,Theory,Single Choice,IT: Big Data,
,Write,,,,,,
,Read,,,,,,
,Load,,,,,,
,none of the above,,,,,,
,,,,,,,
,Pig in interactive mode can be run using which shell,a,M,Theory,Single Choice,IT: Big Data,
,Grunt,,,,,,
,FS,,,,,,
,HDFS,,,,,,
,none of the above,,,,,,
,,,,,,,
,Which of the floowing is not an ERP technology,d,M,Theory,Single Choice,IT: ERP,
,Data warehousing,,,,,,
,Data Mining,,,,,,
,Business process engineering,,,,,,
,Manufacturing resource planning,,,,,,
,,,,,,,
,Who launched a cloud-based test and development service for enterprises?,c,M,Theory,Single Choice,IT: ERP,
,HP,,,,,,
,Cisco,,,,,,
,IBM,,,,,,
,Oracle,,,,,,
,,,,,,,
,Which of the follwing doesnt come under ERP,c,M,Theory,Single Choice,IT: ERP,
,HR,,,,,,
,Inventory,,,,,,
,Purchase,,,,,,
,All of the above,,,,,,
,,,,,,,
,ERP makes the process,b,M,Theory,Single Choice,IT: ERP,
,Fast ,,,,,,
,Automated,,,,,,
,both a & b,,,,,,
,none of these,,,,,,
,,,,,,,
,Steps involved in ERP,d,M,Theory,Single Choice,IT: ERP,
,Project Planning,,,,,,
,Phased Approach,,,,,,
,Architectural design,,,,,,
,All of the above,,,,,,
,,,,,,,
,BPR stands for,b,M,Theory,Single Choice,IT: ERP,
,Business process reengineering,,,,,,
,Business process Redesign,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,ERP helps to integrate,a,M,Theory,Single Choice,IT: ERP,
,Downward value chain,,,,,,
,Upward value chain,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,Which systems are enabling managers to test their decisons on computer before they commit themselves,b,M,Theory,Single Choice,IT: ERP,
,DBMS,,,,,,
,Decision support systems,,,,,,
,ERP,,,,,,
,Business Intelligence Systems,,,,,,
,,,,,,,
,"Which famous person said ""Information only becomes knowledge in the hands of someone who knows what to do with it""?",c,M,Theory,Single Choice,IT: ERP,
,Dennis Ritche,,,,,,
,Steve Jobs,,,,,,
,Peter Drucker,,,,,,
,Bill Gates,,,,,,
,,,,,,,
,The biggest development that did not happen in the late 1990's was,b,M,Theory,Single Choice,IT: ERP,
,Internet,,,,,,
,Artificial Intelligence,,,,,,
,Both a & b,,,,,,
,Neither a nor b,,,,,,
,,,,,,,
,Widely adopted Information systems consulting model provided by Michel Earl deals with?,c,M,Theory,Single Choice,IT: ERP,
,ERP,,,,,,
,Waterfall model,,,,,,
,The four questions model(Why?What?Which?How?,,,,,,
,Agile Model,,,,,,
,,,,,,,
,Typical IT consulting assignments deal with,d,M,Theory,Single Choice,IT: ERP,
,Investigation of competetive advantage through Information Systems,,,,,,
,Study of adoption by competitors,,,,,,
,review of business strategy in light of recent developments,,,,,,
,All of the above,,,,,,
,,,,,,,
,IT portfolio can be divided into,d,M,Theory,Single Choice,IT: ERP,
,support,,,,,,
,mission critical,,,,,,
,strategic,,,,,,
,all of the above,,,,,,
,,,,,,,
,Which of the following business falls under the mission critical category of IT portfolio,a,M,Theory,Single Choice,IT: ERP,
,Call center,,,,,,
,Gaming,,,,,,
,Both a & b,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is ERP package vendor/package provider,c,M,Theory,Single Choice,IT: ERP,
,Microsoft,,,,,,
,Google,,,,,,
,Oracle,,,,,,
,Verizon,,,,,,
,,,,,,,
,"Which infrastructure includes application servers, data servers & clients? ",c,M,Theory,Single Choice,IT: ERP,
,Single tier Infrastructure,,,,,,
,Two tier Infrastructure,,,,,,
,3 tier infrastructure,,,,,,
,None of these,,,,,,
,,,,,,,
," Which of the following are true concerning Enterprise Resource Planning (ERP) ? 
",d,M,Theory,Single Choice,IT: ERP,
,It involves automation and integration of the majority of business processes.,,,,,,
,It shares  data and practices across the enterprise,,,,,,
,Very Expensive,,,,,,
,All of the above,,,,,,
,,,,,,,
,Which systems allows companies to respond efficiently & retain customers,a,M,Theory,Single Choice,IT: ERP,
,CRM,,,,,,
,ERP,,,,,,
,Both a & b,,,,,,
,None of the above,,,,,,
,,,,,,,
,"ERP, CRM are examples of ",c,M,Theory,Single Choice,IT: ERP,
,Functional It,,,,,,
,Network IT,,,,,,
,EIT,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Which IT specifies business processes,mandates data format & defines tasks a& sequences",c,M,Theory,Single Choice,IT: ERP,
,Functional It,,,,,,
,Network IT,,,,,,
,EIT,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which IT is hardest for companies to adopt,c,M,Theory,Single Choice,IT: ERP,
,Functional It,,,,,,
,Network IT,,,,,,
,EIT,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which is the discipline of leveraging analytics & performance modelling to create link between operational processes & desired strategic outcomes,a,M,Theory,Single Choice,IT: ERP,
,decision Analytics,,,,,,
,Cloud computing,,,,,,
,EIT,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following statements about ERP systems is true?,b,M,Theory,Single Choice,IT: ERP,
,"Most ERP software implementations fully achieve seamless integration.
",,,,,,
,"Some ERP software packages are themselves combinations of separate applications for manufacturing, materials resource planning, general ledger, human resources, procurement, and order entry.",,,,,,
,ERP systems are designed primarily for small businesses.,,,,,,
,ntegration of ERP systems can be achieved in only one way.,,,,,,
,,,,,,,
,Which of the following is used to solve the problem of stovepiped departments?,c,M,Theory,Single Choice,IT: ERP,
,Encouragement of interdepartmental interactions.,,,,,,
,Reengineering of traditional departments and focus on workflow processes.,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,"In ERP systems, what does the acronym ERP stand for?",c,M,Theory,Single Choice,IT: ERP,
,"Electronic Resource Planning
",,,,,,
,Electronic Resource Program,,,,,,
,Enterprise Resource Planning,,,,,,
,none of the above,,,,,,
,,,,,,,
,What term is often used in business to describe activities or systems that are seen and used only by people within enterprises?,c,M,Theory,Single Choice,IT: ERP,
,Internal applications,,,,,,
,ExternalApplications,,,,,,
,"Back-office applications
",,,,,,
,none of the above,,,,,,
,,,,,,,
,What criteria may be used to compare some of the goals of ERP software-based systems and REA-based systems?,d,M,Theory,Single Choice,IT: ERP,
,Database orientation,,,,,,
,Semantic,,,,,,
,Structuted,,,,,,
,all of the above,,,,,,
,,,,,,,
,What goal requires objects in the system's conceptual model to correspond as closely as possible to objects in the underlying reality?,b,M,Theory,Single Choice,IT: ERP,
,Database orientation,,,,,,
,Semantic,,,,,,
,Structuted,,,,,,
,all of the above,,,,,,
,,,,,,,
,A realtime software which integrates all the business processes,a,M,Theory,Single Choice,IT: ERP,
,ERP,,,,,,
,CRM,,,,,,
,both a & b,,,,,,
,None,,,,,,
,,,,,,,
,"Which module of ERP includes processes like Sales queries & enquiry analysis & handling, quotation drafting, accepting sales orders, drafting sales invoices with proper taxation, dispatch/Shipment of material or service, tracking pending sales order ",a,M,Theory,Single Choice,IT: ERP,
,Sales,,,,,,
,HRM,,,,,,
,Operations,,,,,,
,none of the above,,,,,,
,,,,,,,
,CRM falls under which category of SAAS providers,d,M,Theory,Single Choice,IT: ERP,
,Consumer services,,,,,,
,Communication services,,,,,,
,Business services,,,,,,
,none of the above,,,,,,
,,,,,,,
,IT projects deliver tangible products/outputs,b,M,Theory,Single Choice,IT: ERP,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Pattern-based systems design is important to Facilitate integration of systems between organizations
",a,M,Theory,Single Choice,IT: ,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Best-of-breed enterprise system created by installing multiple ERP software applications whereby each application best meets a different need of the business in a different area.
",a,M,Theory,Single Choice,IT: ,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,EDI stands for Electronic Data Interchange,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Is SCM a module of ERP?,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Data must be stored at their most primitive levels.
This is a condition that must be met to achieve the goal of database orientation?",a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Integration can be achieved in only one way by employinhg ERP,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,HDFS works in master-worker fashion,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Hadoop is ideal for analytical post operational, data warehousish type of work load",a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,MapReduce places data and compute close to each other,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
, Hadoop 2.0 allows live stream processing of real time data,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"MapReduce , programming model used by Hadoop is difficult to write and test",b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,ByteInputFormat is not an input format in Hadoop,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Application master monitors all Map Reduce Applications in Cluster,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Hive managed tables stores data in Local Linux path,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Managed tables don't allowloading data from other tables,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,External tables can load the data from warehouse Hive directory,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,File records distribution is not a meta data item,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Name node monitors block replication process,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Hive UDF's can only be written in Java,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Pig is used for creating multiple datasets from single large dataset,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Pig can be used for real time updates,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Distributed cache files cannot be accessed in reducer,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Only one distributed cache file is used in Map Reduce job,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,NameNodes are high storage machines in clusters,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,distcp commmand invokes MapReduce in background,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Hadoop is a tool used for Big data Analytics,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
, Data scientist is an expert in extracting insights and analysis from data,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Hadoop is an collection of programs that allow for the storage, retrieval and analysis of very large data sets",a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Internet of Things (IoT) refers to objects (like sensors) that collect, analyze and transmit their own data (often without human input)",a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Predictive Analytics means using analytics to study past trends or pastevents,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Hive is used to address real time queries,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Hbase is used as a tool for random & Fast Read/write operations in Hadoop,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Veracity means that often, data is unclean and you have to deal with that. There’s no metric that I’m aware of to measure it, but it’s important.",a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Variety refers to the different formats in which the data is being generated/stored,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Big data helps in making efficient operational decisions,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Velocity refers to the speed at which the data is being generated,a,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Big data deals with simple model having limited data sets& cleansed data,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Big data consists of  large or complex datasets that traditional data processing application software is inadequate to deal with them.,b,M,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,