,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,The marketing concept which aims at creating a unique image in customerâ€™s mind is called?,A,M,Theory,Single Choice,Marketing:Brand Management,
,Brand Positioning,,,,,,
,Targeting,,,,,,
,Value Proposition,,,,,,
,All of the above,,,,,,
,,,,,,,
,"If the advertising strategy used is wrong for target market or demographic group, then it is_______",C,M,Theory,Single Choice,Marketing,
,Wrong targeting,,,,,,
,Incorrect segmentation,,,,,,
,marketing myopia,,,,,,
,none of the above,,,,,,
,,,,,,,
,The 'break-even point' is where,B,E,Theory,Single Choice,Marketing,
,Marginal revenue equals marginal cost,,,,,,
,Average revenue equals average cost,,,,,,
, Total revenue equals total cost,,,,,,
, None of the above,,,,,,
,,,,,,,
," Reward, Coercive, Expert, Legitimate, and Referent are terms used to describe:",A,M,Theory,Single Choice,Marketing:Distribution,
, The five power sources in a distribution channel,,,,,,
, Psychographic customer segmentation,,,,,,
, Buyer behaviour in a distribution channel,,,,,,
, The instructor,,,,,,
,,,,,,,
,Identify which promotion mix involves making use personal contacts for the purpose of making sales?,A,E,Theory,Single Choice,Marketing:Sales,
, personal selling,,,,,,
, advertising,,,,,,
, e-commerce,,,,,,
, publicity,,,,,,
,,,,,,,
,Which of the following is not an advantage of a territorial sales force structure EXCEPT ________.,D,M,Theory,Single Choice,Marketing:Sales,
, travel expenses can be minimized,,,,,,
, each salesperson's job is clearly defined,,,,,,
, each salesperson accountability is maintained,,,,,,
, salespeople can build strong relationships with customers,,,,,,
,,,,,,,
, The customer expects good service from dealer. This is example of which need?,C,M,Theory,Single Choice,Marketing:Consumer Insights,
,stated needs,,,,,,
,real needs,,,,,,
,unstated needs,,,,,,
,secret needs,,,,,,
,,,,,,,
,If a company introduce same brand name for several product in different markets the company is applying which one of the following brand strategy?,D,M,Theory,Single Choice,Marketing:Brand Management,
,Product brand strategy,,,,,,
,Line brand strategy,,,,,,
,Rand brand strategy,,,,,,
,Umbrella brand strategy,,,,,,
,,,,,,,
,Marketing research starts from,A,E,Theory,Single Choice,Marketing:Market Research,
, Product idea,,,,,,
, Consumer satisfaction,,,,,,
, Product design,,,,,,
, None of the above,,,,,,
,,,,,,,
,The following is not a classification of marketing research problem.,D,M,Theory,Single Choice,Marketing:Market Research,
, Research on products,,,,,,
, Research on advertising and promotion,,,,,,
, Research on consumer,,,,,,
, Research on Quality,,,,,,
,,,,,,,
,Following is (are) the research instrument(s) for marketing research,D,E,Theory,Single Choice,Marketing:Market Research,
, Questionnaire,,,,,,
, Tape recorder,,,,,,
, Camera,,,,,,
, All of the above,,,,,,
,,,,,,,
,Marketing sample must possess the following attribute(s),D,E,Theory,Single Choice,Marketing:Market Research,
, It must be random,,,,,,
, It must be representative,,,,,,
, It must be proportional,,,,,,
, All of the above,,,,,,